rank,name,comments,author,publisher
1,活着（2017年新版）,1641453,余华,作家出版社
2,我喜欢生命本来的样子(周国平经典散文作品集),354597,周国平,作家出版社
3,神奇校车·图画书版（全12册，新增《科学博览会》1册）,877076,"(美)乔安娜柯尔 著 ,(美)布鲁斯·迪根 图",贵州人民出版社
4,人间失格（日本小说家太宰治的自传体小说）,766555,（日）太宰治　著，杨伟　译,作家出版社
5,月亮和六便士（全新导读无删节详注版！ 半年创当当110000名读者五...,191876,〔英〕毛姆 著  苏福忠 译,时代文艺出版社
6,《正面管教》修订版,552428,[美] 简·尼尔森,北京联合出版公司
7,如何说孩子才会听 怎么听孩子才肯说（全新修订版）,475629,（美）玛兹丽施　著，安燕玲　译,中央编译出版社
8,浮生六记 （汪涵推荐，畅销200万册。沈复给芸娘的绝美情书）【果...,697289,沈复 著 ， 张佳玮 译，果麦文化 出品,天津人民出版社
9,生活需要仪式感 （把温暖和感动带给你在乎的人）,222596,李思圆 著，文通天下 出品,山东文艺出版社
10,追风筝的人（2018年新版）,2138793,[美]卡勒德·胡赛尼（Khaled Hosseini） 著，李继宏 译,上海人民出版社
11,小熊和最好的爸爸（全7册）,661247,（荷）丹姆  著，漆仰平，爱桐  译,贵州人民出版社
12,三体：全三册 刘慈欣代表作，亚洲首部“雨果奖”获奖作品！,512141,刘慈欣,重庆出版社
13,少年读史记（套装全5册）,388636,张嘉骅,青岛出版社
14,月亮与六便士（新版！未删节插图珍藏版，荣获波比小说奖诗人译本...,331186,毛姆 著，徐淳刚 译，大星文化 出品，作家榜经典文库，高更 绘,浙江文艺出版社
15,我这么自律，就是为了不平庸至死（500册亲笔签名本随机发）,22500,怀左同学,北京联合出版有限公司
16,乌合之众 : 大众心理研究,51909,(法) 古斯塔夫·勒庞 著，马晓佳 译,民主与建设出版社
17,我的第一本地理启蒙书,444955,郑利强 段虹(绘) 步印童书 出品,新世界出版社
18,谈判：如何在博弈中获得更多(第四版)Everything is Negotiable,25761,(英) 盖温·肯尼迪 (Gavin Kennedy),民主与建设出版社
19,丰子恺万般滋味，都是生活,13712,丰子恺,华中科技大学出版社
20,云边有个小卖部,154778,"张嘉佳 著,博集天卷 出品",湖南文艺出版社
21,神奇校车·桥梁书版（全20册）,527770,乔安娜柯尔　著 布鲁斯迪根 图　施芳　译,贵州人民出版社
22,所谓情商高，就是会说话,519738,佐佐木圭一 著 程亮 译 时代华语 出品,北京联合出版公司
23,薛兆丰经济学讲义,10889,薛兆丰,中信出版社
24,东野圭吾：解忧杂货店（王俊凯、迪丽热巴主演，这家店帮你找回内...,1958309,(日)东野圭吾 著，新经典 出品,南海出版公司
25,写给儿童的中国历史（全14册）,492668,陈卫平著 步印童书 出品,新世界出版社
26,格雷巴旅馆（作者被判终身监禁，此刻故事正在发生……引发全球关...,4393,柯蒂斯·道金斯，白马时光 出品,百花洲文艺出版社
27,超值畅销-好妈妈不打不骂培养男孩300个细节,69713,张晓萍　编著,南海出版公司
28,霍乱时期的爱情（2015版）  一本好书 腾讯视频栏目推荐,337808,（哥伦）马尔克斯　 著，杨玲 译，新经典 出品,南海出版公司
29,小王子（畅销300万册，作者基金会官方认证简体中文版）【果麦经典...,861712,(法)安托万·德·圣埃克苏佩里 著，李继宏 译，果麦文化 出品,天津人民出版社
30,好好说话2：简单有效的高情商沟通术,9353,马薇薇、黄执中、周玄毅、邱晨、胡渐彪 著，磨铁图书 出品,北京联合出版有限公司
31,万历十五年 一本好书 腾讯视频栏目推荐,352193,黄仁宇,生活.读书.新知三联书店
32,东野圭吾：白夜行（2017版，易烊千玺、韩雪推荐，东野圭吾无冕之...,1124806,[日]东野圭吾 著，新经典 出品,南海出版公司
33,马尔克斯：百年孤独（50周年纪念版）,1151421,加西亚·马尔克斯 著，新经典 出品,南海出版公司
34,见识城邦·人类简史：从动物到上帝（新版）  一本好书 腾讯视频栏...,204345,[以色列] 尤瓦尔·赫拉利（Yuval Noah Harari）,中信出版社
35,围城,605911,钱钟书　著,人民文学出版社
36,自在独行     贾平凹的独行世界,567262,贾平凹 著 时代华语 出品,长江文艺出版社
37,摆渡人（如果命运是一条孤独的河流，谁会是你灵魂的摆渡人？）,1040493,[英]克莱儿·麦克福尔，白马时光 出品,百花洲文艺出版社
38,断舍离,341556,(日)山下英子,广西科学技术出版社
39,这就是二十四节气（中国二十四节气彩绘版，文津图书奖获奖绘本，...,500711,高春香，邵敏 著，许明振，李婧 绘,海豚出版社
40,许三观卖血记（新版）,124715,余华,作家出版社
41,你坏（大冰2018作品！预售10分钟8.6万册+，30分钟突破11.8万册，...,381488,"大冰 著,博集天卷 出品",湖南文艺出版社
42,魔法拼音国（套装 共7册）,151212,姜自霞,浙江少年儿童出版社
43,好看的皮囊千篇一律，有趣的灵魂万里挑一（老杨的猫头鹰最新作品...,148176,老杨的猫头鹰,现代出版社
44,非暴力沟通,182484,【美】卢森堡  著，  阮胤华  译,华夏出版社
45,我不敢说，我怕被骂,64613,文：〔荷兰〕皮姆?范?赫斯特  图：〔荷兰〕妮可?塔斯马,北京联合出版公司
46,银火箭少年科幻系列（亚洲首位“雨果奖”得主刘慈欣主编，全球销...,21890,刘慈欣、[英]赫伯特·乔治·威尔斯、[英]玛丽·雪莱等 著，张荣梅 策划，小当当童书馆 出品,浙江教育出版社
47,皮囊（畅销250万册的国民读本，韩寒监制，刘德华、李敬泽作序。繁...,536682,蔡崇达 著，果麦文化 出品,天津人民出版社
48,人性的弱点（薛之谦推荐，畅销100万册）【果麦经典】,357352,戴尔·卡耐基 著，陶曚 译，果麦文化 出品,天津人民出版社
49,人间词话（近代极富盛名的词话著作，集编、校、释、评于一体，赏...,319176,王国维　著,北京联合出版公司
50,国际大奖科普绘本（全6册） 获20余项国际大奖，数十种国际权威机...,3374,"【法】玛丽【美】琳达·格拉泽、玛丽安·伯克斯 等著,【法】阿梅莉·格罗【美】杰米·佐拉斯 等绘,鞠强、李睿、王丁鹏、韩冬 译,张荣梅 策划,小当当童书馆 出品",辽宁少年儿童出版社
51,东野圭吾：恶意（2016版，东野圭吾四大杰作之一）,369650,东野圭吾 著，娄美莲 译，新经典 出品,南海出版公司
52,西游记原著版（上、下册）七年级上册必读（1-9年级必读书单）,111332,吴承恩,人民文学出版社
53,天才在左 疯子在右(2018全新完整版),1000461,高铭 著，磨铁图书 出品,北京联合出版有限公司
54,雪落香杉树 (福克纳奖得主，全球畅销500万册),248248,戴维·伽特森,作家出版社
55,我们仨（新版）,1062180,杨绛,生活.读书.新知三联书店
56,懂你（复旦名师陈果作品！）,26079,陈果,山东画报出版社
57,诗经（韩寒推荐，全三册注音插图版）,44647,骆玉明(解注)，果麦文化 出品,三秦出版社
58,米小圈脑筋急转弯（套装共4册）,124412,北猫,四川少儿出版社
59,一只特立独行的猪,184717,王小波 著，新经典 出品,北京十月文艺出版社
